fragment,smackEvo,kex,smackRC,jdart,jdoop,exliDev,exliEvo,exliRC
jtidy-jtidy-aade7c5a6c1007d013859ac95378a2d469f5e254-Lexer-L2517_L2525,0,6,3,6,6,4,0,0
jtidy-jtidy-aade7c5a6c1007d013859ac95378a2d469f5e254-PPrint-L737_L778,0,10,6,10,8,8,0,0
jtidy-jtidy-aade7c5a6c1007d013859ac95378a2d469f5e254-PPrint-L904_L912,0,5,6,5,6,0,0,0
junichi11-netbeans-color-codes-preview-97a0262a3c15ab5842c43b68019e1e355ad7d3a8-ColorCodesPanel-L102_L108,0,0,0,0,0,0,0,0
junichi11-netbeans-color-codes-preview-97a0262a3c15ab5842c43b68019e1e355ad7d3a8-HexCssColorCodesProvider-L121_L131,0,0,0,0,0,0,0,0
keighrim-mae-annotation-a4bf15aaad14f80b4c6a076bd01c58f6e4d07000-FontHandler-L129_L132,0,5,6,0,0,0,0,0
keighrim-mae-annotation-a4bf15aaad14f80b4c6a076bd01c58f6e4d07000-MaeAgreementGUI-L291_L295,4,3,3,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-ActionFormMapper-L928_L935,7,0,0,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-ActionValidator-L745_L745,3,0,0,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-GodHandableAction-L418_L421,6,0,0,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-JsonUnifiedTextReadingFilter-L45_L52,9,0,0,0,0,9,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-MDCHook-L95_L98,4,0,0,0,0,0,4,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-RequestLoggingFilter-L751_L754,4,0,0,0,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-RestfulStructuredMethodVerifier-L423_L423,3,0,0,3,0,0,0,0
lastaflute-lastaflute-01201e2eee995053bf6f9febcf58ace01ed38c30-SimpleAsyncManager-L733_L736,5,0,0,0,0,0,0,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-ConnectionInfo-L507_L508,0,0,2,0,2,5,5,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-FunctionNode-L105_L109,6,6,4,0,6,4,6,0
leonhad-paradoxdriver-de3a6ad18b6c7f1d461383876339dc8086beaead-SelectPlan-L292_L298,4,6,4,0,4,7,4,0
